course_title,course_organization,course_rating,course_difficulty
Aprendiendo Solidity para hacer Smart Contracts,Coursera Project Network,4.1,Beginner
Aprendiendo a hacer API con Node.JS,Coursera Project Network,4.3,Beginner
Aprendiendo a programar en Go,Coursera Project Network,3.8,Beginner
Aprendizado de máquina com Python,IBM,3.9,Mixed
Aprendizaje Automático con Python,IBM,3.7,Mixed
Aprendizaje automático con Python y Azure Notebooks,Coursera Project Network,3.0,Beginner
Aprendizaje de las matemáticas de primaria,Universidad de los Andes,4.9,Beginner
Arch of Titus: Rome and the Menorah,Yeshiva University,4.5,Mixed
Archaeoastronomy,Politecnico di Milano,4.6,Beginner
Architecting Smart IoT Devices,EIT Digital ,4.3,Intermediate
Architecting and Installing the Apigee Hybrid API Platform,Google Cloud,4.6,Beginner
Architecting with Google Kubernetes Engine: Foundations,Google Cloud,4.7,Intermediate
Architecting with Google Kubernetes Engine: Foundations em Português Brasileiro ,Google Cloud,4.8,Intermediate
Architecting with Google Kubernetes Engine: Foundations en Español,Google Cloud,4.8,Intermediate
Architecting with Google Kubernetes Engine: Foundations en Français,Google Cloud,4.3,Intermediate
Architecting with Google Kubernetes Engine: Foundations 日本語版,Google Cloud,4.1,Intermediate
Architecting with Google Kubernetes Engine: Production,Google Cloud,4.7,Intermediate
Architecting with Google Kubernetes Engine: Production em Português Brasileiro ,Google Cloud,3.8,Intermediate
Architecting with Google Kubernetes Engine: Production en Español,Google Cloud,4.8,Intermediate
Architecting with Google Kubernetes Engine: Production en Français,Google Cloud,3.5,Intermediate
Architecting with Google Kubernetes Engine: Production 日本語版,Google Cloud,2.8,Intermediate
Architecting with Google Kubernetes Engine: Workloads,Google Cloud,4.7,Intermediate
Architecting with Google Kubernetes Engine: Workloads em Português Brasileiro,Google Cloud,4.6,Intermediate
Architecting with Google Kubernetes Engine: Workloads en Español,Google Cloud,4.7,Intermediate
Architecting with Google Kubernetes Engine: Workloads en Français,Google Cloud,4.5,Intermediate
Architecting with Google Kubernetes Engine: Workloads 日本語版,Google Cloud,3.9,Intermediate
"Arctic Change & the Nexus of Governance, Economics & Culture",University of Colorado Boulder,4.6,Mixed
Arctic Development,University of Alberta,2.4,Mixed
Arduino y algunas aplicaciones,Universidad Nacional Autónoma de México,4.6,Mixed
Aromatherapy: Clinical Use of Essential Oils,University of Minnesota,4.8,Mixed
Arranging for Songwriters,Berklee College of Music,4.4,Mixed
Art & Inquiry: Museum Teaching Strategies For Your Classroom,The Museum of Modern Art,4.7,Mixed
Art and Science of Machine Learning,Google Cloud,4.6,Intermediate
Art and Science of Machine Learning em Português Brasileiro,Google Cloud,4.6,Intermediate
Art and Science of Machine Learning en Español,Google Cloud,4.6,Intermediate
Art and Science of Machine Learning en Français,Google Cloud,2.0,Intermediate
Art and Science of Machine Learning 日本語版,Google Cloud,4.2,Intermediate
Arte 3D y animación en videojuegos,Universitat Autònoma de Barcelona,4.5,Mixed
Artificial Intelligence Algorithms Models and Limitations,LearnQuest,4.8,Beginner
Artificial Intelligence Data Fairness and Bias						,LearnQuest,4.9,Beginner
Artificial Intelligence Ethics in Action,LearnQuest,4.6,Intermediate
Artificial Intelligence Privacy and Convenience,LearnQuest,4.6,Intermediate
Artificial Intelligence in Marketing,University of Virginia,4.6,Mixed
Aruba CX Switching for Cisco Professionals,"Aruba, a Hewlett Packard Enterprise company",3.8,Mixed
Aruba Mobility Basics,"Aruba, a Hewlett Packard Enterprise company",2.2,Mixed
Aruba Network Security Basics,"Aruba, a Hewlett Packard Enterprise company",2.2,Mixed
Aruba Networking Basics,"Aruba, a Hewlett Packard Enterprise company",2.1,Mixed
Ash-Related Operational Challenges in Energy Utilization of Sustainable Fuels,Technical University of Denmark (DTU),4.8,Mixed
Asian Environmental Humanities: Landscapes in Transition,University of Zurich,4.7,Beginner
Ask Questions to Make Data-Driven Decisions,Google,4.7,Mixed
Aspectos básicos de AWS: Migración a la nube,Amazon Web Services,2.6,Intermediate
Aspectos básicos de la asistencia técnica,Crece con Google,4.9,Beginner
Aspectos fundamentales de la gerencia,"University of California, Irvine",4.8,Mixed
Assessing Achievement with the ELL in Mind,Arizona State University,4.5,Mixed
Assessing and Improving Community Health,University of Michigan,3.4,Intermediate
Assessment for Learning,University of Illinois at Urbana-Champaign,4.6,Beginner
Assessment in Higher Education: Professional Development for Teachers,Erasmus University Rotterdam,4.8,Intermediate
Asset Creation and Management,Unity,4.6,Intermediate
Astro 101: Black Holes,University of Alberta,4.8,Beginner
AstroTech: The Science and Technology behind Astronomical Discovery,The University of Edinburgh,4.7,Beginner
Astrobiology: Exploring Other Worlds,University of Arizona,4.9,Beginner
Astronomy: Exploring Time and Space,University of Arizona,4.8,Beginner
Asymmetric Cryptography and Key Management,University of Colorado System,4.7,Intermediate
At the Origins of the Mediterranean Civilization: Archaeology of the City from the Levant to the West - 3rd-1st millennium BC,Sapienza University of Rome,4.6,Beginner
Atrévete a innovar tu enseñanza con pensamiento de diseño,Universidad Nacional Autónoma de México,4.9,Beginner
Audio digital con Pure Data,Universidad Nacional Autónoma de México,4.8,Intermediate
Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,4.7,Mixed
Auditing II: The Practice of Auditing,University of Illinois at Urbana-Champaign,4.7,Mixed
Aumente participación de reuniones con Google Slides,Coursera Project Network,4.0,Beginner
Aumente su productividad y su rendimiento con Canva,Coursera Project Network,4.5,Intermediate
AutoCAD للتصميم الأنتاجي,Coursera Project Network,3.1,Beginner
AutoML avec AutoKeras - Classification d'images ,Coursera Project Network,4.7,Beginner
AutoML con AutoSklearn y Google Colab,Coursera Project Network,4.3,Intermediate
AutoML con Pycaret y TPOT,Coursera Project Network,4.8,Advanced
AutoML for Computer Vision with Microsoft Custom Vision,Coursera Project Network,4.7,Beginner
Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,Autodesk,4.8,Advanced
Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,Autodesk,4.7,Advanced
Autodesk Certified Professional: Revit for Structural Design Exam Prep,Autodesk,4.7,Advanced
Autoliderazgo y gestión de emociones para avanzar en desafíos complejos,Universidad de los Andes,4.9,Mixed
Automate an e-commerce web application using Selenium & Java,Coursera Project Network,4.7,Beginner
Automated Machine Learning en Microsoft Power BI,Coursera Project Network,4.3,Intermediate
Automated Machine Learning en Power BI Clasificación,Coursera Project Network,4.9,Intermediate
Automated Reasoning: Symbolic Model Checking,EIT Digital ,4.3,Mixed
Automated Reasoning: satisfiability,EIT Digital ,4.8,Intermediate
Automatic Machine Learning with H2O AutoML and Python,Coursera Project Network,4.8,Intermediate
Automating Real-World Tasks with Python,Google,4.8,Beginner
Automating Sales Tasks with Zapier,Coursera Project Network,4.3,Intermediate
Automating Team Communication with Google Sheets and Apps Script,Coursera Project Network,4.6,Intermediate
"Autoridad, dirección y liderazgo",Universidad Nacional Autónoma de México,4.8,Beginner
Avatar Psychology for Designers,Michigan State University,4.8,Beginner
Averaged-Switch Modeling and Simulation,University of Colorado Boulder,4.7,Intermediate
Avoid Overfitting Using Regularization in TensorFlow,Coursera Project Network,4.8,Intermediate
Azure Data Engineer con Databricks y Azure Data Factory,Coursera Project Network,3.5,Advanced
Azure DevOps - Deploying (Java - Maven app ) on Azure WebApp,Coursera Project Network,4.4,Beginner
Azure Infrastructure Fundamentals,LearnQuest,3.5,Advanced
"Azure Synapse Analytics: desde el DWH, hasta PowerBI y Spark",Coursera Project Network,3.6,Intermediate
Azure Synapse SQL Pool - Implement Polybase,Coursera Project Network,5.0,Intermediate
Azure: Create a Virtual Machine and Deploy a Web Server,Coursera Project Network,3.8,Beginner
BIM Application for Engineers,National Taiwan University,4.7,Intermediate
BIM: from sketch to digital twin,Peter the Great St. Petersburg Polytechnic University,4.9,Intermediate
BMC and Start-up Funding for Early-Stage Start-ups,Coursera Project Network,4.6,Intermediate
Bacteria and Chronic Infections,University of Copenhagen,4.7,Mixed
Bacterial Bioinformatics,University of Virginia,4.7,Mixed
Bajemos la temperatura: De la ciencia climática a la acción,The World Bank Group,4.8,Beginner
Baking Lights for Better Performance in Unity,Coursera Project Network,3.1,Beginner
Bancos de dados e SQL para Ciência de Dados,IBM,4.3,Beginner
Bank Loan Approval Prediction With Artificial Neural Nets,Coursera Project Network,4.2,Beginner
Bankruptcy Law,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),5.0,Mixed
Bases de Datos SQL en Azure,Coursera Project Network,2.4,Intermediate
Bases de datos y SQL para ciencia de datos,IBM,3.9,Beginner
Bases of the law of obligations (The Russian Federation) Part 1,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),4.6,Beginner
Bases of the law of obligations (The Russian Federation) Part 2,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),4.6,Beginner
Bases y primeros pasos en latex,Coursera Project Network,4.6,Beginner
Basic Artificial Neural Networks in Python,Coursera Project Network,4.1,Intermediate
Basic Cryptography and Programming with Crypto API,University of Colorado System,4.2,Intermediate
Basic Data Analysis and Model Building using Python,Coursera Community Project Network,4.4,Intermediate
"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Rice University,4.7,Mixed
Basic Data Processing and Visualization,University of California San Diego,4.3,Mixed
Basic Elements of Design: Design Principles and Software Overview,University of Colorado Boulder,4.7,Mixed
Scratch Tutorial: Basic Game Development with Levels,Coursera Project Network,4.7,Mixed
Basic Image Classification with TensorFlow,Coursera Project Network,4.6,Beginner
Basic Sentiment Analysis with TensorFlow,Coursera Project Network,4.5,Intermediate
Basic Skills in Constructive Communication,Peter the Great St. Petersburg Polytechnic University,4.5,Beginner
Basic Statistics in Python (ANOVA),Coursera Project Network,4.5,Beginner
Basic Statistics in Python (Correlations and T-tests),Coursera Project Network,4.4,Beginner
Basic System Programming on IBM Z,IBM,4.8,Intermediate
Basic User Interface Design for Web Developers,Coursera Project Network,3.4,Intermediate
Basics of Extracellular Vesicles,"University of California, Irvine",4.8,Intermediate
Basics of Inclusive Design for Online Education,University of Colorado Boulder,4.7,Beginner
Basics of thermodynamics,Novosibirsk State University ,3.8,Intermediate
"Bats, Ducks, and Pandemics: An Introduction to One Health Policy",Princeton University,4.7,Beginner
Bayesian Methods for Machine Learning,HSE University,4.5,Mixed
Bayesian Optimization Tutorial with Python,Coursera Project Network,3.8,Intermediate
Bayesian Statistics,Duke University,3.8,Intermediate
Bayesian Statistics: Mixture Models,"University of California, Santa Cruz",4.7,Advanced
Be Your Best Creative Self,University of Colorado Boulder,4.7,Beginner
"Be a Leader, Develop a Leader",Case Western Reserve University,4.7,Mixed
Be entrepreneurial in Cultural Industries in the digital age,Sciences Po,4.1,Beginner
Become a JavaScript Pro with these 7 Skills,Coursera Project Network,4.5,Intermediate
Becoming Part of the Globalised Workplace,National University of Singapore,4.4,Mixed
Becoming a Social Entrepreneur: Getting Started,University of Michigan,4.7,Beginner
Beginner's guide to AWS Identity and Access Management (IAM),Coursera Project Network,3.4,Beginner
Beginners Guide to YAML Syntax,Coursera Project Network,4.8,Beginner
Beginning SQL Server,Coursera Project Network,4.5,Beginner
Behavioral Investing,Indian School of Business,4.5,Beginner
Being a researcher (in Information Science and Technology),Politecnico di Milano,4.9,Beginner
Belles histoires d'entreprises à impact,ESSEC Business School,3.9,Beginner
"Bend, Warp, and Style Text with Inkscape",Coursera Project Network,3.8,Beginner
Beneficios y características de las redes sociales más significativas,Tecnológico de Monterrey,4.4,Mixed
Benefits of Bootstrap,Coursera Project Network,3.4,Beginner
Best Practices for iOS User Interface Design,"University of California, Irvine",4.6,Mixed
Better Business Writing in English,Georgia Institute of Technology,4.7,Beginner
Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Case Western Reserve University,4.4,Mixed
Biases and Portfolio Selection,Rice University,4.5,Mixed
"Bienestar, equidad y derechos humanos",Universidad de los Andes,4.8,Beginner
Big Data - Capstone Project,University of California San Diego,4.4,Mixed
Big Data Analysis Deep Dive,Alibaba Cloud Academy,2.4,Mixed
Big Data Analysis with Scala and Spark,École Polytechnique Fédérale de Lausanne,4.7,Mixed
"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Yandex,4.0,Advanced
Big Data Analytical Platform on Alibaba Cloud ,Alibaba Cloud Academy,4.5,Mixed
Big Data Applications: Machine Learning at Scale,Yandex,3.8,Advanced
Big Data Emerging Technologies,Yonsei University,4.7,Beginner
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,4.0,Intermediate
Big Data Integration and Processing,University of California San Diego,4.4,Beginner
Big Data Modeling and Management Systems,University of California San Diego,4.4,Mixed
Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,Icahn School of Medicine at Mount Sinai,4.8,Intermediate
Big Data Services: Capstone Project,Yandex,3.8,Advanced
Big Data with Scala and Spark,Coursera Project Network,3.5,Intermediate
"Big Data, Artificial Intelligence, and Ethics","University of California, Davis",4.6,Beginner
"Big Data, Genes, and Medicine",The State University of New York,4.3,Advanced
Big Data: adquisición y almacenamiento de datos,Universitat Autònoma de Barcelona,4.4,Intermediate
Big Data: capstone project,Universitat Autònoma de Barcelona,4.7,Advanced
Big Data: el impacto de los datos masivos en la sociedad actual,Universitat Autònoma de Barcelona,4.7,Beginner
Big Data: procesamiento y análisis,Universitat Autònoma de Barcelona,4.2,Intermediate
Big Data: visualización de datos,Universitat Autònoma de Barcelona,4.6,Intermediate
Big History - From the Big Bang until Today,University of Amsterdam,4.6,Beginner
Big data and Language 1,Korea Advanced Institute of Science and Technology(KAIST),4.5,Mixed
Big data and Language 2,Korea Advanced Institute of Science and Technology(KAIST),3.9,Mixed
Tutorial: Big-O Time Complexity in Python,Coursera Project Network,4.6,Intermediate
Biochemical Principles of Energy Metabolism,Korea Advanced Institute of Science and Technology(KAIST),4.9,Beginner
Bioinformatic Methods I,University of Toronto,4.7,Beginner
Bioinformatic Methods II,University of Toronto,4.7,Beginner
Bioinformatics Capstone: Big Data in Biology,University of California San Diego,4.1,Beginner
Bioinformatics: Introduction and Methods 生物信息学: 导论与方法,Peking University,4.4,Mixed
"Biological Diversity (Theories, Measures and Data sampling techniques)",National Research Tomsk State University,4.2,Intermediate
Biology Everywhere Foundations,University of Colorado Boulder,4.7,Beginner
Biomedical Visualisation,University of Glasgow ,4.6,Mixed
Biosphere 2 Science for the Future of Our Planet,University of Arizona,4.9,Beginner
Tutorial: Bitcoin Price Prediction using Facebook Prophet,Coursera Project Network,4.6,Beginner
Bitcoin and Cryptocurrency Technologies,Princeton University,4.6,Mixed
Black-box and White-box Testing,University of Minnesota,3.1,Mixed
Blazor and JavaScript Interoperability,Coursera Project Network,3.2,Intermediate
Blockchain 360: A State of the Art for Professionals,EIT Digital ,4.5,Beginner
Blockchain Business Models,Duke University,4.7,Intermediate
Blockchain Evolution and Technology Concepts,Association of International Certified Professional Accountants,4.7,Beginner
Blockchain Opportunities Beyond Crypto Assets ,Association of International Certified Professional Accountants,4.6,Beginner
Blockchain Opportunity Analysis,INSEAD,4.5,Intermediate
Blockchain Scalability and its Foundations in Distributed Systems,The University of Sydney,4.7,Mixed
Blockchain Transformations of Financial Services,INSEAD,4.7,Beginner
Blockchain and Business: Applications and Implications,INSEAD,4.7,Mixed
Blockchain and Cryptocurrency Explained,University of Michigan,4.6,Beginner
Blockchain e Negócios: Aplicativos e Implicações,INSEAD,4.4,Mixed
Blockchain for the decision maker,EIT Digital ,4.3,Beginner
"Blockchain, Cryptoassets, and Decentralized Finance",INSEAD,4.6,Mixed
Tutorial: Bonds and Fixed Income Mathematics,Coursera Project Network,4.3,Intermediate
Boost Accuracy by Weighting Variables in Google Sheets,Coursera Project Network,4.3,Intermediate
Brand Identity and Strategy,IE Business School,4.7,Intermediate
Brand Marketing and SEO Tools using Wix,Coursera Project Network,4.6,Mixed
Brand New Brand,California Institute of the Arts,4.9,Intermediate
Brand and Product Management,IE Business School,4.7,Mixed
Brand management in digital economy,Saint Petersburg State University,3.7,Mixed
Branding and Customer Experience,IE Business School,4.6,Intermediate
Breast Cancer Prediction Using Machine Learning,Coursera Project Network,5.0,Intermediate
Breastfeeding: Public Health Perspectives,University of Michigan,3.9,Mixed
Bridging healthcare and society,National Research Tomsk State University,3.3,Mixed
Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,4.8,Intermediate
"Brilliant, Passionate You",University of Michigan,4.6,Mixed
Bring your business online with the new Google Sites,Coursera Project Network,4.9,Beginner
Browser-based Models with TensorFlow.js,DeepLearning.AI,4.7,Mixed
Buddhism and Modern Psychology ,Princeton University,4.8,Mixed
Budget- und Terminplanung von Projekten,"University of California, Irvine",4.9,Mixed
Budgeting essentials and development,Fundação Instituto de Administração,4.5,Intermediate
Budgétisation et planification de projets,"University of California, Irvine",4.7,Mixed
Buenas Prácticas en Libre Competencia,Pontificia Universidad Católica de Chile,4.8,Mixed
Build & Deploy AI Messenger Chatbot using IBM Watson,Coursera Project Network,2.5,Beginner
Build A Google Firebase Web App (Part II),Coursera Project Network,4.7,Intermediate
Build A News Feed Mobile App With Flutter,Coursera Project Network,4.9,Intermediate
Build Accessible and 508 Compliant Surveys in SurveyMonkey,Coursera Project Network,2.2,Intermediate
Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,4.7,Mixed
Build Better Generative Adversarial Networks (GANs),DeepLearning.AI,4.7,Mixed
Build Better Visual Presentations with Google Slides,Coursera Project Network,4.3,Mixed
Build CRUD REST API in Django,Coursera Project Network,3.5,Intermediate
Build Data Analysis and Transformation Skills in R using DPLYR,Coursera Project Network,4.7,Beginner
Build Data Analysis tools using R and DPLYR,Coursera Project Network,4.5,Beginner
"Build Decision Trees, SVMs, and Artificial Neural Networks",CertNexus,5.0,Mixed
Build Inclusive User Personas in Miro,Coursera Project Network,3.2,Intermediate
Build Messenger Clone Using PHP and MySQL,Coursera Project Network,3.5,Intermediate
Build Multilayer Perceptron Models with Keras,Coursera Project Network,4.6,Intermediate
Build NLP pipelines using scikit-learn,Coursera Project Network,4.0,Advanced
Build Photo Gallery Mobile App With Flutter,Coursera Project Network,3.4,Intermediate
Build Random Forests in R with Azure ML Studio,Coursera Project Network,4.8,Beginner
"Build Regression, Classification, and Clustering Models",CertNexus,4.9,Mixed
Build Responsive CSS3 Flexbox Holy Grail Layout,Coursera Project Network,2.5,Intermediate
Build Responsive Image Gallery UI using CSS3 Flexbox,Coursera Project Network,3.8,Intermediate
Build Responsive Service Page UI using CSS3 Flexbox,Coursera Project Network,4.9,Intermediate
Build Restaurant Business Website using Google Sites,Coursera Project Network,4.9,Mixed
Build Space Invaders Game using Java,Coursera Project Network,4.5,Beginner
Build Space Invaders using Pygame,Coursera Project Network,4.0,Intermediate
Build Sports Management System using JavaFX,Coursera Project Network,4.3,Beginner
Build Training Website using Google Sites,Coursera Project Network,4.6,Mixed
Build Wireframes and Low-Fidelity Prototypes,Google,4.9,Beginner
Build Your First Android App (Project-Centered Course),CentraleSupélec,4.3,Mixed
Build Your First GUI App With Java,Coursera Project Network,3.4,Intermediate
React Tutorial: Build Your First React Website,Coursera Project Network,4.4,Intermediate
Build Your First React Website (Part II),Coursera Project Network,4.7,Intermediate
Build Your Own iOS App,University of Toronto,3.3,Mixed
Tutorial: Build Your Portfolio Website with HTML and CSS,Coursera Project Network,4.5,Beginner
Build Your Professional ePortfolio in English,Georgia Institute of Technology,4.7,Mixed
Build a Banner Ad with Inkscape,Coursera Project Network,3.1,Beginner
Build a Bot in Python for Basic File and Interface Chores,Coursera Project Network,2.6,Intermediate
Build a Budget and Analyze Variance using Google Sheets,Coursera Project Network,4.7,Mixed
Build a Business Architecture using AWS Organization,Coursera Project Network,2.6,Intermediate
Build a Chat UI application using CSS3 Flexbox,Coursera Project Network,3.2,Intermediate
Build a Classification Model using PyCaret,Coursera Project Network,2.4,Beginner
Build a Custom Profile Avatar with Inkscape,Coursera Project Network,2.5,Beginner
Build a Database from a Relational Model,Coursera Project Network,4.8,Intermediate
Build a Deep Learning Based Image Classifier with R,Coursera Project Network,4.6,Intermediate
Build a Face Mask Detector with Google's Teachable Machine,Coursera Project Network,3.0,Beginner
Build a Facebook Clone with PHP,Coursera Project Network,4.2,Intermediate
Build a Fast Typing Game using Java Swing,Coursera Project Network,4.1,Beginner
Build a Firebase Android Application,Coursera Project Network,4.4,Intermediate
Build a Firebase Android Application (Part II),Coursera Project Network,4.3,Advanced
Build a Flywheel Infographic with Inkscape,Coursera Project Network,3.1,Beginner
Build a Full Stack Twitter clone with Next.js,Coursera Project Network,3.2,Intermediate
WordPress Tutorial: Build a Full Website,Coursera Project Network,4.5,Advanced
Build a Full-Stack Server for API Requests - NodeJS and Pug,Coursera Project Network,4.0,Intermediate
Tutorial: Build a Google Firebase Web Application,Coursera Project Network,4.6,Intermediate
Build a Guessing Game Application using C++ ,Coursera Project Network,4.3,Intermediate
Build a Guessing Game Application using Java ,Coursera Project Network,4.4,Intermediate
Build a Guessing Game in C# on Linux,Coursera Project Network,3.0,Beginner
Build a Lean Workflow with Kanban Frameworks in Miro,Coursera Project Network,3.3,Intermediate
Build a Linear Layout App in Android Studio,Coursera Project Network,4.5,Beginner
Build a MERN application using Next.js,Coursera Project Network,4.4,Intermediate
Build a Machine Learning Web App with Streamlit and Python,Coursera Project Network,4.7,Intermediate
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,4.9,Mixed
Build a Node Server backend with Express,Coursera Project Network,3.1,Intermediate
Build a Persistent Storage App in Android Studio,Coursera Project Network,4.4,Beginner
Build a Product Management Plan Framework in Trello,Coursera Project Network,4.8,Mixed
Build a Product Roadmap with Aha!,Coursera Project Network,4.2,Mixed
Tutorial: Build a Professional Resume using Canva,Coursera Project Network,4.4,Mixed
Build a Profile for a Dream Job with Indeed,Coursera Project Network,5.0,Beginner
Python Tkinter Tutorial: Building a GUI,Coursera Project Network,4.4,Intermediate
Build a Python application(API) on AWS(Lambda+API Gateway),Coursera Project Network,4.0,Beginner
Build a RESTful API(Node.js) using AWS Lambda & API Gateway,Coursera Project Network,3.9,Beginner
Build a RESTful Serverless API on AWS,Coursera Project Network,3.6,Beginner
Build a Recommender System in Python,Coursera Project Network,3.9,Intermediate
Build a Relative Layout App in Android Studio,Coursera Project Network,4.5,Beginner
Build a Scoring Mechanic with C# in Unity - Shooting Targets,Coursera Project Network,2.5,Beginner
Build a Simple App in Android Studio with Java,Coursera Project Network,4.4,Beginner
Build a Stopwatch using JavaScript,Coursera Project Network,4.0,Beginner
Build a Table Layout App in Android Studio,Coursera Project Network,4.5,Beginner
Build a Twitter Clone Backend,Coursera Project Network,4.4,Intermediate
Build a Twitter Clone Front-End with ReactJS,Coursera Project Network,4.4,Intermediate
Build a User Experience (UX) Map in Miro,Coursera Project Network,2.2,Intermediate
Build a Website using React,Coursera Project Network,2.9,Intermediate
Build a Word Jumble using Java Basics,Coursera Project Network,2.9,Intermediate
Build a Working Chatbot in Python,Coursera Project Network,3.5,Intermediate
Build a automated CRM for Lead Management with Google Sheets,Coursera Project Network,3.1,Beginner
Build a day trading journal with Google sheets for beginners,Coursera Project Network,3.4,Beginner
Build a film club web app on Google AppEngine,Coursera Project Network,4.5,Intermediate
Build a mobile app with Google Sheets on Glide and no coding,Coursera Project Network,4.6,Mixed
Build a simple API-driven e-commerce application ,Coursera Project Network,3.3,Intermediate
Build a simple company expense tracker with Typescript,Coursera Project Network,4.6,Beginner
Build an App in Android Studio using Activities,Coursera Project Network,4.3,Intermediate
Build an App in Android Studio using Read-Write,Coursera Project Network,4.7,Intermediate
Build an App in Android Studio using Resources,Coursera Project Network,4.7,Intermediate
Build an App in Android Studio using Static Files,Coursera Project Network,4.3,Intermediate
Build an App in Android Studio using onTouch,Coursera Project Network,4.5,Intermediate
Figma Tutorial: Build an E-commerce Dashboard,Coursera Project Network,4.4,Beginner
Build an Interactive Worksheet in Google Slides,Coursera Project Network,5.0,Mixed
Build an e-portfolio using google sites,Coursera Project Network,2.5,Beginner
Build and Utilize Forms in LibreOffice Base,Coursera Project Network,3.6,Intermediate
Build local development environments using Docker containers,Coursera Project Network,4.6,Intermediate
Build personal resilience,Macquarie University,4.8,Mixed
"Build web apps with Django models, views, forms & templates",Coursera Project Network,3.6,Intermediate
Build your first Self Driving Car using AWS DeepRacer,Coursera Project Network,3.7,Beginner
Build your personal webpage using React and Github Pages,Coursera Project Network,4.0,Beginner
Building  simple Pong Game using C++,Coursera Project Network,3.8,Intermediate
Building AI Applications with Watson APIs,IBM,4.2,Intermediate
Building AI Powered Chatbots Without Programming,IBM,4.8,Beginner
Building Basic Relational Databases in SQL Server Management Studio,Coursera Project Network,4.4,Beginner
Building Batch Data Pipelines on GCP em Português Brasileiro,Google Cloud,4.3,Intermediate
Building Batch Data Pipelines on GCP en Español,Google Cloud,4.8,Intermediate
Building Batch Data Pipelines on GCP en Français,Google Cloud,5.0,Intermediate
Building Batch Data Pipelines on GCP 日本語版,Google Cloud,4.5,Intermediate
Tutorial: Candlestick Charts with Google Sheets,Coursera Project Network,4.4,Mixed
Building Candlestick Charts with Tableau,Coursera Project Network,4.4,Beginner
Building Classroom Community Using Flipgrid,Coursera Project Network,4.7,Beginner
Building Cloud Native and Multicloud,IBM,3.3,Mixed
Building Cloud Services with the Java Spring Framework,Vanderbilt University,4.3,Mixed
Building Containerized Applications on AWS,Amazon Web Services,4.5,Mixed
Building Custom Regional Reports with Google Analytics,Coursera Project Network,4.6,Mixed
Building Database Applications in PHP,University of Michigan,4.9,Intermediate
Building Deep Learning Models with TensorFlow,IBM,4.4,Intermediate
Building Digital Media using Graphic Design in Google Slides,Coursera Project Network,4.5,Beginner
Building Fintech Startups in Emerging Markets,University of Cape Town,4.5,Beginner
Building Globally Distributed Databases with Cosmos DB,Coursera Project Network,3.8,Intermediate
Building High-Performing Teams,University of Pennsylvania,4.7,Beginner
Building Machine Learning Pipelines in PySpark MLlib,Coursera Project Network,4.5,Intermediate
Building Modern Node.js Applications on AWS,Amazon Web Services,4.3,Mixed
Building Modern Python Applications on AWS,Amazon Web Services,4.3,Mixed
Building Recommendation System Using MXNET on AWS Sagemaker,Coursera Project Network,3.0,Advanced
Building Resilient Streaming Analytics Systems on GCP em Português Brasileiro,Google Cloud,2.2,Intermediate
Building Resilient Streaming Analytics Systems on GCP en Español,Google Cloud,4.8,Intermediate
Building Resilient Streaming Analytics Systems on GCP en Français,Google Cloud,2.1,Intermediate
Building Resilient Streaming Analytics Systems on GCP 日本語版,Google Cloud,4.8,Intermediate
Building Resilient Streaming Systems on GCP em Português Brasileiro,Google Cloud,4.1,Intermediate
Building Similarity Based Recommendation System,Coursera Project Network,4.4,Intermediate
Building Smart Business Assistants with IBM Watson,Coursera Project Network,4.6,Mixed
Building Statistical Models in R: Linear Regression,Coursera Project Network,2.7,Beginner
Building Stock Returns Heatmap with Tableau,Coursera Project Network,4.6,Intermediate
Building Students Math Skills with iKnowit,Coursera Project Network,4.7,Mixed
"Building Test Automation Framework - Selenium, C# & NUnit",Coursera Project Network,4.1,Advanced
Building Test Automation Framework using Selenium and TestNG,Coursera Project Network,4.6,Advanced
Building Web Applications in Django,University of Michigan,4.7,Intermediate
Building Web Applications in PHP,University of Michigan,4.7,Intermediate
Building Your Career in Music: Developing A Brand and Funding Your Music,Berklee College of Music,4.4,Mixed
Building Your First Chatbot Using Rasa Framework 2.0,Coursera Project Network,3.0,Beginner
Building a Business Presence With Facebook Marketing,Coursera Project Network,4.7,Mixed
Building a Calculator using C# in Visual Studio,Coursera Project Network,4.3,Beginner
Building a Company’s database using MySQL and SQL,Coursera Project Network,4.2,Beginner
Building a Dynamic Web App using PHP & MySQL,Coursera Project Network,4.4,Beginner
